SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
1690200	178200	0.891	5201.98	9.908533333333333e+27	0.104
1692000	180000	0.9	5272.16	1.0042209523809523e+28	0.105
1693800	181800	0.909	5338.95	1.0169428571428571e+28	0.106
1695600	183600	0.918	5405.64	1.0296457142857143e+28	0.108
1697400	185400	0.927	5472.88	1.0424533333333334e+28	0.109
1699200	187200	0.936	5541.03	1.0554342857142857e+28	0.11
1701000	189000	0.945	5606.34	1.0678742857142859e+28	0.112
1702800	190800	0.954	5675.29	1.0810076190476192e+28	0.113
1704600	192600	0.963	5742.08	1.0937295238095237e+28	0.114
1706400	194400	0.972	5813.19	1.1072742857142857e+28	0.116
1708200	196200	0.981	5883.24	1.1206171428571428e+28	0.117
1710000	198000	0.99	5956.35	1.1345428571428572e+28	0.119
1711800	199800	0.999	6026.75	1.147952380952381e+28	0.12
1713600	201600	1.008	6096.81	1.1612971428571429e+28	0.121
1715400	203400	1.017	6169.1	1.1750666666666668e+28	0.123
1717200	205200	1.026	6242.93	1.189129523809524e+28	0.124
1719000	207000	1.035	6316.73	1.2031866666666666e+28	0.126
1720800	208800	1.044	6390.7	1.2172761904761904e+28	0.127
1722600	210600	1.053	6462.77	1.2310038095238096e+28	0.129
1724400	212400	1.062	6530.14	1.2438361904761907e+28	0.13
1726200	214200	1.071	6601.02	1.257337142857143e+28	0.131
1728000	216000	1.08	6669.93	1.2704628571428572e+28	0.133
1729800	217800	1.089	6741.02	1.2840038095238096e+28	0.134
1731600	219600	1.098	6812.57	1.297632380952381e+28	0.136
1733400	221400	1.107	6881.16	1.3106971428571428e+28	0.137
1735200	223200	1.116	6954.74	1.324712380952381e+28	0.138
1737000	225000	1.125	7028.53	1.338767619047619e+28	0.14
1738800	226800	1.134	7101.45	1.352657142857143e+28	0.141
1740600	228600	1.143	7175.09	1.3666838095238095e+28	0.143
1742400	230400	1.152	7251.41	1.3812209523809524e+28	0.144
1744200	232200	1.161	7321.04	1.3944838095238095e+28	0.146
1746000	234000	1.17	7394.49	1.4084742857142857e+28	0.147
1747800	235800	1.179	7464.01	1.4217161904761906e+28	0.149
1749600	237600	1.188	7538.03	1.4358152380952382e+28	0.15
1751400	239400	1.197	7607.87	1.4491180952380952e+28	0.151
1753200	241200	1.206	7678.17	1.4625085714285716e+28	0.153
1755000	243000	1.215	7750.3	1.4762476190476192e+28	0.154
1756800	244800	1.224	7820.56	1.4896304761904764e+28	0.156
1758600	246600	1.233	7888.63	1.5025961904761906e+28	0.157
1760400	248400	1.242	7959.41	1.5160780952380953e+28	0.158
1762200	250200	1.251	8030.88	1.5296914285714286e+28	0.16
1764000	252000	1.26	8101.26	1.5430971428571429e+28	0.161
1765800	253800	1.269	8170.82	1.5563466666666667e+28	0.163
1767600	255600	1.278	8242.79	1.5700552380952383e+28	0.164
1769400	257400	1.287	8310.92	1.583032380952381e+28	0.165
1771200	259200	1.296	8384.57	1.5970609523809523e+28	0.167
1773000	261000	1.305	8452.13	1.6099295238095238e+28	0.168
1774800	262800	1.314	8524.27	1.6236704761904763e+28	0.17
1776600	264600	1.323	8595.88	1.6373104761904761e+28	0.171
1778400	266400	1.332	8667.24	1.6509028571428571e+28	0.173
1780200	268200	1.341	8737.64	1.664312380952381e+28	0.174
1782000	270000	1.35	8810.78	1.6782438095238096e+28	0.175
1783800	271800	1.359	8885.14	1.692407619047619e+28	0.177
1785600	273600	1.368	8959.57	1.706584761904762e+28	0.178
1787400	275400	1.377	9036.02	1.7211466666666667e+28	0.18
1789200	277200	1.386	9110.48	1.7353295238095238e+28	0.181
1791000	279000	1.395	9185.2	1.749561904761905e+28	0.183
1792800	280800	1.404	9259.86	1.7637828571428574e+28	0.184
1794600	282600	1.413	9335.5	1.7781904761904762e+28	0.186
1796400	284400	1.422	9409.85	1.792352380952381e+28	0.187
1798200	286200	1.431	9483.65	1.8064095238095238e+28	0.189
1800000	288000	1.44	9556.48	1.8202819047619048e+28	0.19
1801800	289800	1.449	9630.24	1.8343314285714285e+28	0.192
1803600	291600	1.458	9701.67	1.8479371428571428e+28	0.193
1805400	293400	1.467	9775.31	1.8619638095238094e+28	0.195
1807200	295200	1.476	9848.28	1.8758628571428574e+28	0.196
1809000	297000	1.485	9923.17	1.890127619047619e+28	0.198
1810800	298800	1.494	9999.3	1.9046285714285713e+28	0.199
1812600	300600	1.503	10075.4	1.9191238095238094e+28	0.201
1814400	302400	1.512	10153.1	1.9339238095238097e+28	0.202
1816200	304200	1.521	10229.2	1.9484190476190479e+28	0.204
1818000	306000	1.53	10305.5	1.962952380952381e+28	0.205
1819800	307800	1.539	10382.2	1.9775619047619049e+28	0.207
1821600	309600	1.548	10458.3	1.9920571428571426e+28	0.208
1823400	311400	1.557	10537.0	2.007047619047619e+28	0.21
1825200	313200	1.566	10612.4	2.0214095238095237e+28	0.211
1827000	315000	1.575	10691.2	2.0364190476190478e+28	0.213
1828800	316800	1.584	10768.7	2.0511809523809524e+28	0.214
1830600	318600	1.593	10845.1	2.0657333333333336e+28	0.216
1832400	320400	1.602	10918.7	2.079752380952381e+28	0.217
1834200	322200	1.611	10994.1	2.094114285714286e+28	0.219
1836000	324000	1.62	11068.9	2.108361904761905e+28	0.22
1837800	325800	1.629	11146.0	2.123047619047619e+28	0.222
1839600	327600	1.638	11219.9	2.1371238095238097e+28	0.223
1841400	329400	1.647	11293.6	2.1511619047619047e+28	0.225
1843200	331200	1.656	11370.7	2.1658476190476193e+28	0.226
1845000	333000	1.665	11444.3	2.1798666666666667e+28	0.228
1846800	334800	1.674	11522.0	2.1946666666666665e+28	0.229
1848600	336600	1.683	11599.3	2.209390476190476e+28	0.231
1850400	338400	1.692	11675.4	2.2238857142857143e+28	0.232
1852200	340200	1.701	11750.4	2.2381714285714284e+28	0.234
1854000	342000	1.71	11828.3	2.253009523809524e+28	0.236
1855800	343800	1.719	11902.5	2.267142857142857e+28	0.237
1857600	345600	1.728	11978.8	2.2816761904761906e+28	0.239
1859400	347400	1.737	12054.5	2.296095238095238e+28	0.24
1861200	349200	1.746	12131.7	2.3108000000000003e+28	0.242
1863000	351000	1.755	12207.8	2.325295238095238e+28	0.243
1864800	352800	1.764	12283.1	2.3396380952380956e+28	0.245
1866600	354600	1.773	12359.7	2.3542285714285716e+28	0.246
1868400	356400	1.782	12433.4	2.3682666666666666e+28	0.248
1870200	358200	1.791	12509.5	2.382761904761905e+28	0.249
1872000	360000	1.8	12586.2	2.3973714285714286e+28	0.251
1873800	361800	1.809	12657.2	2.4108952380952383e+28	0.252
1875600	363600	1.818	12736.5	2.426e+28	0.254
1877400	365400	1.827	12812.6	2.4404952380952385e+28	0.255
1879200	367200	1.836	12887.7	2.4548e+28	0.257
1881000	369000	1.845	12965.6	2.4696380952380953e+28	0.258
1882800	370800	1.854	13041.5	2.4840952380952384e+28	0.26
1884600	372600	1.863	13120.3	2.499104761904762e+28	0.261
1886400	374400	1.872	13199.2	2.5141333333333334e+28	0.263
1888200	376200	1.881	13276.7	2.5288952380952384e+28	0.264
1890000	378000	1.89	13356.0	2.544e+28	0.266
1891800	379800	1.899	13433.1	2.5586857142857143e+28	0.267
1893600	381600	1.908	13510.2	2.573371428571429e+28	0.269
1895400	383400	1.917	13585.8	2.5877714285714287e+28	0.271
1897200	385200	1.926	13662.4	2.6023619047619047e+28	0.272
1899000	387000	1.935	13739.2	2.6169904761904764e+28	0.274
1900800	388800	1.944	13817.7	2.6319428571428572e+28	0.275
1902600	390600	1.953	13894.3	2.6465333333333332e+28	0.277
1904400	392400	1.962	13974.5	2.661809523809524e+28	0.278
1906200	394200	1.971	14051.0	2.6763809523809524e+28	0.28
1908000	396000	1.98	14131.1	2.691638095238095e+28	0.281
1909800	397800	1.989	14209.0	2.7064761904761907e+28	0.283
1911600	399600	1.998	14288.8	2.7216761904761906e+28	0.285
1913400	401400	2.007	14366.0	2.7363809523809523e+28	0.286
1915200	403200	2.016	14445.9	2.7516e+28	0.288
1917000	405000	2.025	14526.5	2.766952380952381e+28	0.289
1918800	406800	2.034	14608.0	2.7824761904761906e+28	0.291
1920600	408600	2.043	14686.2	2.797371428571429e+28	0.292
1922400	410400	2.052	14765.9	2.8125523809523808e+28	0.294
1924200	412200	2.061	14845.4	2.8276952380952382e+28	0.296
1926000	414000	2.07	14924.3	2.8427238095238095e+28	0.297
1927800	415800	2.079	15004.2	2.8579428571428575e+28	0.299
1929600	417600	2.088	15086.7	2.873657142857143e+28	0.3
1931400	419400	2.097	15167.8	2.889104761904762e+28	0.302
1933200	421200	2.106	15250.3	2.9048190476190477e+28	0.304
1935000	423000	2.115	15331.2	2.920228571428572e+28	0.305
1936800	424800	2.124	15415.2	2.9362285714285718e+28	0.307
1938600	426600	2.133	15499.5	2.9522857142857146e+28	0.309
1940400	428400	2.142	15584.8	2.968533333333333e+28	0.31
1942200	430200	2.151	15668.5	2.9844761904761907e+28	0.312
1944000	432000	2.16	15754.3	3.0008190476190478e+28	0.314
1945800	433800	2.169	15842.3	3.0175809523809525e+28	0.315
1947600	435600	2.178	15929.0	3.0340952380952382e+28	0.317
1949400	437400	2.187	16020.7	3.051561904761905e+28	0.319
1951200	439200	2.196	16109.8	3.068533333333333e+28	0.321
1953000	441000	2.205	16199.4	3.0856e+28	0.323
1954800	442800	2.214	16289.3	3.1027238095238094e+28	0.324
1956600	444600	2.223	16382.3	3.120438095238095e+28	0.326
1958400	446400	2.232	16474.7	3.1380380952380957e+28	0.328
1960200	448200	2.241	16567.9	3.1557904761904767e+28	0.33
1962000	450000	2.25	16658.1	3.1729714285714282e+28	0.332
1963800	451800	2.259	16744.3	3.1893904761904763e+28	0.333
1965600	453600	2.268	16829.7	3.205657142857143e+28	0.335
1967400	455400	2.277	16918.4	3.2225523809523815e+28	0.337
1969200	457200	2.286	16998.5	3.2378095238095238e+28	0.338
1971000	459000	2.295	17087.9	3.2548380952380956e+28	0.34
