SR (A/fs)	5e-06	Plateau PMF	50217.332	Plate-plate vol (m^3)	5.25e-25
TimeStep	Time (fs)	Total strain (A)	PMF (kCal/mol)	PMF norm (vol)	PMF norm (peak)
2282400	770400	3.852	34625.7	6.595371428571428e+28	0.69
2284200	772200	3.861	34735.8	6.616342857142858e+28	0.692
2286000	774000	3.87	34848.4	6.637790476190477e+28	0.694
2287800	775800	3.879	34961.7	6.6593714285714285e+28	0.696
2289600	777600	3.888	35074.0	6.680761904761905e+28	0.698
2291400	779400	3.897	35189.1	6.702685714285714e+28	0.701
2293200	781200	3.906	35301.1	6.724019047619047e+28	0.703
2295000	783000	3.915	35414.5	6.745619047619048e+28	0.705
2296800	784800	3.924	35524.6	6.766590476190476e+28	0.707
2298600	786600	3.933	35637.2	6.788038095238095e+28	0.71
2300400	788400	3.942	35750.2	6.809561904761905e+28	0.712
2302200	790200	3.951	35860.6	6.830590476190476e+28	0.714
2304000	792000	3.96	35977.0	6.852761904761905e+28	0.716
2305800	793800	3.969	36087.6	6.873828571428571e+28	0.719
2307600	795600	3.978	36204.8	6.8961523809523815e+28	0.721
2309400	797400	3.987	36316.3	6.917390476190477e+28	0.723
2311200	799200	3.996	36429.3	6.9389142857142865e+28	0.725
2313000	801000	4.005	36541.6	6.960304761904762e+28	0.728
2314800	802800	4.014	36651.6	6.981257142857143e+28	0.73
2316600	804600	4.023	36760.2	7.001942857142857e+28	0.732
2318400	806400	4.032	36868.0	7.02247619047619e+28	0.734
2320200	808200	4.041	36972.7	7.042419047619047e+28	0.736
2322000	810000	4.05	37078.6	7.062590476190476e+28	0.738
2323800	811800	4.059	37182.5	7.082380952380952e+28	0.74
2325600	813600	4.068	37285.5	7.1020000000000005e+28	0.742
2327400	815400	4.077	37387.8	7.121485714285715e+28	0.745
2329200	817200	4.086	37491.6	7.1412571428571425e+28	0.747
2331000	819000	4.095	37593.4	7.160647619047619e+28	0.749
2332800	820800	4.104	37700.1	7.180971428571428e+28	0.751
2334600	822600	4.113	37800.8	7.200152380952382e+28	0.753
2336400	824400	4.122	37908.2	7.2206095238095236e+28	0.755
2338200	826200	4.131	38010.6	7.240114285714285e+28	0.757
2340000	828000	4.14	38112.8	7.259580952380953e+28	0.759
2341800	829800	4.149	38213.7	7.2787999999999995e+28	0.761
2343600	831600	4.158	38314.7	7.2980380952380945e+28	0.763
2345400	833400	4.167	38413.7	7.316895238095238e+28	0.765
2347200	835200	4.176	38513.2	7.335847619047619e+28	0.767
2349000	837000	4.185	38607.7	7.353847619047618e+28	0.769
2350800	838800	4.194	38706.8	7.372723809523811e+28	0.771
2352600	840600	4.203	38803.1	7.391066666666666e+28	0.773
2354400	842400	4.212	38901.2	7.409752380952381e+28	0.775
2356200	844200	4.221	38997.7	7.428133333333333e+28	0.777
2358000	846000	4.23	39092.4	7.446171428571429e+28	0.778
2359800	847800	4.239	39191.5	7.465047619047619e+28	0.78
2361600	849600	4.248	39291.2	7.484038095238095e+28	0.782
2363400	851400	4.257	39392.3	7.503295238095239e+28	0.784
2365200	853200	4.266	39494.0	7.5226666666666665e+28	0.786
2367000	855000	4.275	39596.9	7.542266666666668e+28	0.789
2368800	856800	4.284	39702.5	7.562380952380952e+28	0.791
2370600	858600	4.293	39806.7	7.582228571428571e+28	0.793
2372400	860400	4.302	39912.3	7.6023428571428575e+28	0.795
2374200	862200	4.311	40017.0	7.622285714285715e+28	0.797
2376000	864000	4.32	40121.9	7.642266666666668e+28	0.799
2377800	865800	4.329	40227.4	7.662361904761905e+28	0.801
2379600	867600	4.338	40328.8	7.681676190476191e+28	0.803
2381400	869400	4.347	40435.7	7.702038095238095e+28	0.805
2383200	871200	4.356	40540.6	7.722019047619047e+28	0.807
2385000	873000	4.365	40645.8	7.742057142857143e+28	0.809
2386800	874800	4.374	40751.5	7.762190476190476e+28	0.812
2388600	876600	4.383	40856.7	7.782228571428571e+28	0.814
2390400	878400	4.392	40963.4	7.802552380952382e+28	0.816
2392200	880200	4.401	41066.6	7.8222095238095235e+28	0.818
2394000	882000	4.41	41171.1	7.842114285714286e+28	0.82
2395800	883800	4.419	41272.4	7.861409523809524e+28	0.822
2397600	885600	4.428	41371.9	7.880361904761905e+28	0.824
2399400	887400	4.437	41467.3	7.898533333333334e+28	0.826
2401200	889200	4.446	41560.3	7.91624761904762e+28	0.828
2403000	891000	4.455	41650.6	7.93344761904762e+28	0.829
2404800	892800	4.464	41744.4	7.951314285714287e+28	0.831
2406600	894600	4.473	41834.1	7.9684e+28	0.833
2408400	896400	4.482	41924.0	7.98552380952381e+28	0.835
2410200	898200	4.491	42012.7	8.002419047619048e+28	0.837
2412000	900000	4.5	42098.8	8.018819047619049e+28	0.838
2413800	901800	4.509	42188.0	8.035809523809525e+28	0.84
2415600	903600	4.518	42274.0	8.052190476190476e+28	0.842
2417400	905400	4.527	42362.9	8.06912380952381e+28	0.844
2419200	907200	4.536	42447.6	8.085257142857142e+28	0.845
2421000	909000	4.545	42533.9	8.10169523809524e+28	0.847
2422800	910800	4.554	42618.9	8.117885714285714e+28	0.849
2424600	912600	4.563	42705.2	8.13432380952381e+28	0.85
2426400	914400	4.572	42793.4	8.15112380952381e+28	0.852
2428200	916200	4.581	42878.5	8.167333333333333e+28	0.854
2430000	918000	4.59	42967.2	8.184228571428572e+28	0.856
2431800	919800	4.599	43054.6	8.200876190476191e+28	0.857
2433600	921600	4.608	43144.5	8.218e+28	0.859
2435400	923400	4.617	43234.9	8.235219047619048e+28	0.861
2437200	925200	4.626	43323.8	8.252152380952382e+28	0.863
2439000	927000	4.635	43413.6	8.269257142857143e+28	0.865
2440800	928800	4.644	43497.5	8.285238095238095e+28	0.866
2442600	930600	4.653	43586.1	8.302114285714286e+28	0.868
2444400	932400	4.662	43668.7	8.31784761904762e+28	0.87
2446200	934200	4.671	43757.4	8.334742857142858e+28	0.871
2448000	936000	4.68	43838.5	8.350190476190477e+28	0.873
2449800	937800	4.689	43923.0	8.366285714285714e+28	0.875
2451600	939600	4.698	44003.5	8.381619047619048e+28	0.876
2453400	941400	4.707	44087.5	8.397619047619047e+28	0.878
2455200	943200	4.716	44166.1	8.412590476190476e+28	0.879
2457000	945000	4.725	44251.4	8.428838095238096e+28	0.881
2458800	946800	4.734	44327.9	8.443409523809524e+28	0.883
2460600	948600	4.743	44407.4	8.45855238095238e+28	0.884
2462400	950400	4.752	44481.3	8.472628571428573e+28	0.886
2464200	952200	4.761	44559.6	8.487542857142857e+28	0.887
2466000	954000	4.77	44637.3	8.502342857142857e+28	0.889
2467800	955800	4.779	44713.7	8.516895238095238e+28	0.89
2469600	957600	4.788	44787.7	8.530990476190475e+28	0.892
2471400	959400	4.797	44861.2	8.544990476190477e+28	0.893
2473200	961200	4.806	44936.0	8.559238095238095e+28	0.895
2475000	963000	4.815	45008.9	8.57312380952381e+28	0.896
2476800	964800	4.824	45081.8	8.587009523809525e+28	0.898
2478600	966600	4.833	45149.8	8.599961904761905e+28	0.899
2480400	968400	4.842	45221.6	8.613638095238096e+28	0.901
2482200	970200	4.851	45293.5	8.627333333333334e+28	0.902
2484000	972000	4.86	45362.7	8.640514285714285e+28	0.903
2485800	973800	4.869	45434.1	8.654114285714286e+28	0.905
2487600	975600	4.878	45506.6	8.66792380952381e+28	0.906
2489400	977400	4.887	45580.1	8.68192380952381e+28	0.908
2491200	979200	4.896	45652.7	8.695752380952381e+28	0.909
2493000	981000	4.905	45726.1	8.709733333333334e+28	0.911
2494800	982800	4.914	45802.9	8.724361904761905e+28	0.912
2496600	984600	4.923	45875.9	8.738266666666667e+28	0.914
2498400	986400	4.932	45958.1	8.75392380952381e+28	0.915
2500200	988200	4.941	46030.3	8.767676190476191e+28	0.917
2502000	990000	4.95	46107.6	8.7824e+28	0.918
2503800	991800	4.959	46182.9	8.796742857142858e+28	0.92
2505600	993600	4.968	46255.9	8.81064761904762e+28	0.921
2507400	995400	4.977	46329.4	8.82464761904762e+28	0.923
2509200	997200	4.986	46397.6	8.837638095238096e+28	0.924
2511000	999000	4.995	46466.2	8.850704761904761e+28	0.925
2512800	1000800	5.004	46530.6	8.862971428571429e+28	0.927
2514600	1002600	5.013	46597.0	8.875619047619049e+28	0.928
2516400	1004400	5.022	46660.3	8.887676190476192e+28	0.929
2518200	1006200	5.031	46725.9	8.90017142857143e+28	0.93
2520000	1008000	5.04	46790.2	8.912419047619048e+28	0.932
2521800	1009800	5.049	46853.5	8.924476190476191e+28	0.933
2523600	1011600	5.058	46914.2	8.936038095238096e+28	0.934
2525400	1013400	5.067	46976.7	8.947942857142856e+28	0.935
2527200	1015200	5.076	47041.6	8.960304761904762e+28	0.937
2529000	1017000	5.085	47106.0	8.97257142857143e+28	0.938
2530800	1018800	5.094	47168.5	8.98447619047619e+28	0.939
2532600	1020600	5.103	47231.8	8.996533333333333e+28	0.941
2534400	1022400	5.112	47293.9	9.008361904761905e+28	0.942
2536200	1024200	5.121	47357.7	9.020514285714286e+28	0.943
2538000	1026000	5.13	47419.9	9.032361904761905e+28	0.944
2539800	1027800	5.139	47477.8	9.043390476190476e+28	0.945
2541600	1029600	5.148	47533.7	9.054038095238095e+28	0.947
2543400	1031400	5.157	47590.0	9.064761904761906e+28	0.948
2545200	1033200	5.166	47645.2	9.07527619047619e+28	0.949
2547000	1035000	5.175	47698.3	9.085390476190477e+28	0.95
2548800	1036800	5.184	47748.5	9.09495238095238e+28	0.951
2550600	1038600	5.193	47802.1	9.105161904761905e+28	0.952
2552400	1040400	5.202	47854.0	9.115047619047619e+28	0.953
2554200	1042200	5.211	47905.1	9.124780952380953e+28	0.954
2556000	1044000	5.22	47958.6	9.134971428571429e+28	0.955
2557800	1045800	5.229	48011.9	9.14512380952381e+28	0.956
2559600	1047600	5.238	48060.4	9.154361904761906e+28	0.957
2561400	1049400	5.247	48111.4	9.164076190476191e+28	0.958
2563200	1051200	5.256	48160.8	9.173485714285715e+28	0.959
2565000	1053000	5.265	48210.1	9.18287619047619e+28	0.96
2566800	1054800	5.274	48258.2	9.192038095238095e+28	0.961
2568600	1056600	5.283	48307.1	9.20135238095238e+28	0.962
2570400	1058400	5.292	48351.8	9.209866666666668e+28	0.963
2572200	1060200	5.301	48395.9	9.218266666666668e+28	0.964
2574000	1062000	5.31	48440.5	9.226761904761906e+28	0.965
2575800	1063800	5.319	48483.0	9.234857142857142e+28	0.965
2577600	1065600	5.328	48527.9	9.243409523809524e+28	0.966
2579400	1067400	5.337	48568.8	9.251200000000002e+28	0.967
2581200	1069200	5.346	48613.7	9.259752380952381e+28	0.968
2583000	1071000	5.355	48653.7	9.267371428571428e+28	0.969
2584800	1072800	5.364	48698.0	9.275809523809524e+28	0.97
2586600	1074600	5.373	48737.7	9.283371428571429e+28	0.971
2588400	1076400	5.382	48780.2	9.291466666666667e+28	0.971
2590200	1078200	5.391	48821.4	9.299314285714287e+28	0.972
2592000	1080000	5.4	48862.6	9.307161904761905e+28	0.973
2593800	1081800	5.409	48902.9	9.314838095238096e+28	0.974
2595600	1083600	5.418	48939.1	9.321733333333334e+28	0.975
2597400	1085400	5.427	48976.5	9.328857142857143e+28	0.975
2599200	1087200	5.436	49010.3	9.33529523809524e+28	0.976
2601000	1089000	5.445	49048.3	9.342533333333334e+28	0.977
2602800	1090800	5.454	49083.1	9.349161904761904e+28	0.977
2604600	1092600	5.463	49114.5	9.355142857142858e+28	0.978
2606400	1094400	5.472	49149.2	9.36175238095238e+28	0.979
2608200	1096200	5.481	49181.0	9.367809523809525e+28	0.979
2610000	1098000	5.49	49214.9	9.374266666666667e+28	0.98
2611800	1099800	5.499	49248.6	9.380685714285715e+28	0.981
2613600	1101600	5.508	49284.1	9.387447619047619e+28	0.981
2615400	1103400	5.517	49318.5	9.394e+28	0.982
2617200	1105200	5.526	49351.9	9.400361904761905e+28	0.983
2619000	1107000	5.535	49384.8	9.406628571428573e+28	0.983
2620800	1108800	5.544	49419.8	9.41329523809524e+28	0.984
2622600	1110600	5.553	49453.5	9.419714285714285e+28	0.985
2624400	1112400	5.562	49488.6	9.4264e+28	0.985
2626200	1114200	5.571	49523.0	9.432952380952382e+28	0.986
2628000	1116000	5.58	49559.1	9.43982857142857e+28	0.987
2629800	1117800	5.589	49591.7	9.446038095238094e+28	0.988
2631600	1119600	5.598	49623.3	9.452057142857144e+28	0.988
2633400	1121400	5.607	49656.0	9.458285714285715e+28	0.989
2635200	1123200	5.616	49689.2	9.464609523809523e+28	0.989
2637000	1125000	5.625	49720.1	9.470495238095239e+28	0.99
2638800	1126800	5.634	49751.4	9.476457142857144e+28	0.991
2640600	1128600	5.643	49781.2	9.482133333333334e+28	0.991
2642400	1130400	5.652	49808.1	9.487257142857143e+28	0.992
2644200	1132200	5.661	49840.4	9.493409523809525e+28	0.992
2646000	1134000	5.67	49866.8	9.498438095238095e+28	0.993
2647800	1135800	5.679	49894.9	9.503790476190476e+28	0.994
2649600	1137600	5.688	49924.5	9.509428571428572e+28	0.994
2651400	1139400	5.697	49949.6	9.514209523809523e+28	0.995
2653200	1141200	5.706	49975.4	9.51912380952381e+28	0.995
2655000	1143000	5.715	50001.2	9.524038095238096e+28	0.996
2656800	1144800	5.724	50020.9	9.527790476190476e+28	0.996
2658600	1146600	5.733	50044.3	9.53224761904762e+28	0.997
2660400	1148400	5.742	50066.1	9.5364e+28	0.997
2662200	1150200	5.751	50085.4	9.540076190476191e+28	0.997
2664000	1152000	5.76	50102.7	9.543371428571429e+28	0.998
2665800	1153800	5.769	50120.1	9.546685714285714e+28	0.998
2667600	1155600	5.778	50138.4	9.55017142857143e+28	0.998
2669400	1157400	5.787	50153.3	9.553009523809524e+28	0.999
2671200	1159200	5.796	50167.1	9.555638095238095e+28	0.999
2673000	1161000	5.805	50181.8	9.558438095238096e+28	0.999
2674800	1162800	5.814	50193.0	9.560571428571429e+28	1.0
2676600	1164600	5.823	50203.1	9.562495238095238e+28	1.0
2678400	1166400	5.832	50210.0	9.563809523809524e+28	1.0
2680200	1168200	5.841	50212.2	9.56422857142857e+28	1.0
2682000	1170000	5.85	50217.7	9.56527619047619e+28	1.0
2683800	1171800	5.859	50218.8	9.565485714285714e+28	1.0
2685600	1173600	5.868	50216.3	9.565009523809524e+28	1.0
2687400	1175400	5.877	50213.3	9.564438095238097e+28	1.0
2689200	1177200	5.886	50216.8	9.565104761904762e+28	1.0
2691000	1179000	5.895	50217.1	9.565161904761905e+28	1.0
2692800	1180800	5.904	50213.8	9.564533333333334e+28	1.0
2694600	1182600	5.913	50213.7	9.564514285714285e+28	1.0
2696400	1184400	5.922	50216.0	9.564952380952381e+28	1.0
2698200	1186200	5.931	50215.1	9.564780952380953e+28	1.0
2700000	1188000	5.94	50215.3	9.564819047619049e+28	1.0
2701800	1189800	5.949	50217.3	9.565200000000001e+28	1.0
2703600	1191600	5.958	50217.4	9.565219047619049e+28	1.0
2705400	1193400	5.967	50215.3	9.564819047619049e+28	1.0
2707200	1195200	5.976	50215.5	9.564857142857143e+28	1.0
2709000	1197000	5.985	50214.4	9.564647619047619e+28	1.0
2710800	1198800	5.994	50215.7	9.564895238095238e+28	1.0
2712600	1200600	6.003	50216.1	9.564971428571428e+28	1.0
2714400	1202400	6.012	50215.2	9.5648e+28	1.0
2716200	1204200	6.021	50215.7	9.564895238095238e+28	1.0
2718000	1206000	6.03	50216.4	9.565028571428571e+28	1.0
2719800	1207800	6.039	50215.3	9.564819047619049e+28	1.0
2721600	1209600	6.048	50215.6	9.56487619047619e+28	1.0
2723400	1211400	6.057	50217.0	9.565142857142858e+28	1.0
2725200	1213200	6.066	50215.9	9.564933333333334e+28	1.0
2727000	1215000	6.075	50215.3	9.564819047619049e+28	1.0
2728800	1216800	6.084	50215.5	9.564857142857143e+28	1.0
2730600	1218600	6.093	50215.3	9.564819047619049e+28	1.0
2732400	1220400	6.102	50216.2	9.564990476190475e+28	1.0
2734200	1222200	6.111	50214.2	9.564609523809523e+28	1.0
2736000	1224000	6.12	50215.6	9.56487619047619e+28	1.0
2737800	1225800	6.129	50216.4	9.565028571428571e+28	1.0
2739600	1227600	6.138	50213.9	9.564552380952381e+28	1.0
2741400	1229400	6.147	50214.5	9.564666666666666e+28	1.0
2743200	1231200	6.156	50216.8	9.565104761904762e+28	1.0
2745000	1233000	6.165	50217.5	9.565238095238096e+28	1.0
2746800	1234800	6.174	50213.3	9.564438095238097e+28	1.0
2748600	1236600	6.183	50214.7	9.564704761904762e+28	1.0
2750400	1238400	6.192	50216.1	9.564971428571428e+28	1.0
2752200	1240200	6.201	50215.2	9.5648e+28	1.0
2754000	1242000	6.21	50214.9	9.564742857142858e+28	1.0
2755800	1243800	6.219	50214.6	9.564685714285715e+28	1.0
2757600	1245600	6.228	50216.0	9.564952380952381e+28	1.0
2759400	1247400	6.237	50216.5	9.565047619047619e+28	1.0
2761200	1249200	6.246	50215.6	9.56487619047619e+28	1.0
2763000	1251000	6.255	50213.5	9.56447619047619e+28	1.0
2764800	1252800	6.264	50213.6	9.564495238095238e+28	1.0
2766600	1254600	6.273	50216.5	9.565047619047619e+28	1.0
2768400	1256400	6.282	50215.2	9.5648e+28	1.0
2770200	1258200	6.291	50215.1	9.564780952380953e+28	1.0
2772000	1260000	6.3	50215.1	9.564780952380953e+28	1.0
2773800	1261800	6.309	50215.9	9.564933333333334e+28	1.0
2775600	1263600	6.318	50216.8	9.565104761904762e+28	1.0
2777400	1265400	6.327	50214.5	9.564666666666666e+28	1.0
2779200	1267200	6.336	50215.6	9.56487619047619e+28	1.0
2781000	1269000	6.345	50215.8	9.564914285714287e+28	1.0
2782800	1270800	6.354	50217.1	9.565161904761905e+28	1.0
2784600	1272600	6.363	50214.6	9.564685714285715e+28	1.0
2786400	1274400	6.372	50215.5	9.564857142857143e+28	1.0
2788200	1276200	6.381	50215.3	9.564819047619049e+28	1.0
2790000	1278000	6.39	50216.5	9.565047619047619e+28	1.0
2791800	1279800	6.399	50216.7	9.565085714285715e+28	1.0
2793600	1281600	6.408	50215.8	9.564914285714287e+28	1.0
2795400	1283400	6.417	50214.6	9.564685714285715e+28	1.0
2797200	1285200	6.426	50215.3	9.564819047619049e+28	1.0
2799000	1287000	6.435	50215.9	9.564933333333334e+28	1.0
2800800	1288800	6.444	50215.8	9.564914285714287e+28	1.0
2802600	1290600	6.453	50214.2	9.564609523809523e+28	1.0
2804400	1292400	6.462	50216.3	9.565009523809524e+28	1.0
2806200	1294200	6.471	50215.8	9.564914285714287e+28	1.0
2808000	1296000	6.48	50216.5	9.565047619047619e+28	1.0
2809800	1297800	6.489	50216.9	9.56512380952381e+28	1.0
2811600	1299600	6.498	50215.6	9.56487619047619e+28	1.0
2813400	1301400	6.507	50215.7	9.564895238095238e+28	1.0
2815200	1303200	6.516	50215.6	9.56487619047619e+28	1.0
2817000	1305000	6.525	50218.4	9.565409523809524e+28	1.0
2818800	1306800	6.534	50215.0	9.564761904761906e+28	1.0
2820600	1308600	6.543	50214.9	9.564742857142858e+28	1.0
2822400	1310400	6.552	50215.2	9.5648e+28	1.0
2824200	1312200	6.561	50216.0	9.564952380952381e+28	1.0
2826000	1314000	6.57	50215.9	9.564933333333334e+28	1.0
2827800	1315800	6.579	50217.5	9.565238095238096e+28	1.0
2829600	1317600	6.588	50215.5	9.564857142857143e+28	1.0
2831400	1319400	6.597	50215.1	9.564780952380953e+28	1.0
2833200	1321200	6.606	50216.6	9.565066666666668e+28	1.0
2835000	1323000	6.615	50217.2	9.565180952380952e+28	1.0
2836800	1324800	6.624	50215.8	9.564914285714287e+28	1.0
2838600	1326600	6.633	50215.2	9.5648e+28	1.0
2840400	1328400	6.642	50215.7	9.564895238095238e+28	1.0
2842200	1330200	6.651	50215.5	9.564857142857143e+28	1.0
2844000	1332000	6.66	50216.3	9.565009523809524e+28	1.0
2845800	1333800	6.669	50214.9	9.564742857142858e+28	1.0
2847600	1335600	6.678	50213.8	9.564533333333334e+28	1.0
2849400	1337400	6.687	50216.2	9.564990476190475e+28	1.0
2851200	1339200	6.696	50215.6	9.56487619047619e+28	1.0
2853000	1341000	6.705	50216.1	9.564971428571428e+28	1.0
2854800	1342800	6.714	50215.7	9.564895238095238e+28	1.0
2856600	1344600	6.723	50217.1	9.565161904761905e+28	1.0
2858400	1346400	6.732	50216.8	9.565104761904762e+28	1.0
2860200	1348200	6.741	50216.2	9.564990476190475e+28	1.0
2862000	1350000	6.75	50216.2	9.564990476190475e+28	1.0
2863800	1351800	6.759	50215.8	9.564914285714287e+28	1.0
2865600	1353600	6.768	50215.1	9.564780952380953e+28	1.0
2867400	1355400	6.777	50213.9	9.564552380952381e+28	1.0
2869200	1357200	6.786	50216.3	9.565009523809524e+28	1.0
2871000	1359000	6.795	50217.5	9.565238095238096e+28	1.0
2872800	1360800	6.804	50214.3	9.564628571428572e+28	1.0
2874600	1362600	6.813	50215.4	9.564838095238096e+28	1.0
2876400	1364400	6.822	50216.0	9.564952380952381e+28	1.0
2878200	1366200	6.831	50217.2	9.565180952380952e+28	1.0
2880000	1368000	6.84	50214.7	9.564704761904762e+28	1.0
2881800	1369800	6.849	50216.9	9.56512380952381e+28	1.0
2883600	1371600	6.858	50218.7	9.565466666666667e+28	1.0
2885400	1373400	6.867	50217.1	9.565161904761905e+28	1.0
2887200	1375200	6.876	50216.4	9.565028571428571e+28	1.0
2889000	1377000	6.885	50216.6	9.565066666666668e+28	1.0
2890800	1378800	6.894	50216.4	9.565028571428571e+28	1.0
2892600	1380600	6.903	50218.4	9.565409523809524e+28	1.0
2894400	1382400	6.912	50215.3	9.564819047619049e+28	1.0
2896200	1384200	6.921	50213.2	9.564419047619048e+28	1.0
2898000	1386000	6.93	50214.9	9.564742857142858e+28	1.0
2899800	1387800	6.939	50215.1	9.564780952380953e+28	1.0
2901600	1389600	6.948	50216.7	9.565085714285715e+28	1.0
2903400	1391400	6.957	50219.7	9.565657142857142e+28	1.0
2905200	1393200	6.966	50217.5	9.565238095238096e+28	1.0
2907000	1395000	6.975	50216.9	9.56512380952381e+28	1.0
2908800	1396800	6.984	50215.6	9.56487619047619e+28	1.0
2910600	1398600	6.993	50214.6	9.564685714285715e+28	1.0
2912400	1400400	7.002	50217.2	9.565180952380952e+28	1.0
2914200	1402200	7.011	50218.3	9.565390476190477e+28	1.0
2916000	1404000	7.02	50216.0	9.564952380952381e+28	1.0
2917800	1405800	7.029	50215.5	9.564857142857143e+28	1.0
2919600	1407600	7.038	50217.8	9.565295238095239e+28	1.0
2921400	1409400	7.047	50215.9	9.564933333333334e+28	1.0
2923200	1411200	7.056	50218.2	9.565371428571428e+28	1.0
2925000	1413000	7.065	50216.7	9.565085714285715e+28	1.0
2926800	1414800	7.074	50216.4	9.565028571428571e+28	1.0
2928600	1416600	7.083	50214.9	9.564742857142858e+28	1.0
2930400	1418400	7.092	50216.5	9.565047619047619e+28	1.0
2932200	1420200	7.101	50215.9	9.564933333333334e+28	1.0
2934000	1422000	7.11	50216.0	9.564952380952381e+28	1.0
2935800	1423800	7.119	50217.6	9.565257142857143e+28	1.0
2937600	1425600	7.128	50217.3	9.565200000000001e+28	1.0
2939400	1427400	7.137	50217.3	9.565200000000001e+28	1.0
2941200	1429200	7.146	50216.8	9.565104761904762e+28	1.0
2943000	1431000	7.155	50216.4	9.565028571428571e+28	1.0
2944800	1432800	7.164	50217.2	9.565180952380952e+28	1.0
2946600	1434600	7.173	50215.4	9.564838095238096e+28	1.0
2948400	1436400	7.182	50214.3	9.564628571428572e+28	1.0
2950200	1438200	7.191	50216.6	9.565066666666668e+28	1.0
2952000	1440000	7.2	50217.4	9.565219047619049e+28	1.0
2953800	1441800	7.209	50215.8	9.564914285714287e+28	1.0
2955600	1443600	7.218	50213.8	9.564533333333334e+28	1.0
2957400	1445400	7.227	50215.9	9.564933333333334e+28	1.0
2959200	1447200	7.236	50218.3	9.565390476190477e+28	1.0
2961000	1449000	7.245	50214.8	9.564723809523811e+28	1.0
2962800	1450800	7.254	50215.6	9.56487619047619e+28	1.0
2964600	1452600	7.263	50216.8	9.565104761904762e+28	1.0
2966400	1454400	7.272	50215.1	9.564780952380953e+28	1.0
2968200	1456200	7.281	50214.4	9.564647619047619e+28	1.0
2970000	1458000	7.29	50217.2	9.565180952380952e+28	1.0
2971800	1459800	7.299	50215.6	9.56487619047619e+28	1.0
2973600	1461600	7.308	50216.7	9.565085714285715e+28	1.0
2975400	1463400	7.317	50215.9	9.564933333333334e+28	1.0
2977200	1465200	7.326	50215.9	9.564933333333334e+28	1.0
2979000	1467000	7.335	50216.4	9.565028571428571e+28	1.0
2980800	1468800	7.344	50214.5	9.564666666666666e+28	1.0
2982600	1470600	7.353	50215.5	9.564857142857143e+28	1.0
2984400	1472400	7.362	50217.7	9.56527619047619e+28	1.0
2986200	1474200	7.371	50217.0	9.565142857142858e+28	1.0
2988000	1476000	7.38	50215.1	9.564780952380953e+28	1.0
2989800	1477800	7.389	50215.7	9.564895238095238e+28	1.0
2991600	1479600	7.398	50217.3	9.565200000000001e+28	1.0
2993400	1481400	7.407	50216.9	9.56512380952381e+28	1.0
2995200	1483200	7.416	50216.0	9.564952380952381e+28	1.0
2997000	1485000	7.425	50215.2	9.5648e+28	1.0
2998800	1486800	7.434	50215.8	9.564914285714287e+28	1.0
3000600	1488600	7.443	50217.6	9.565257142857143e+28	1.0
3002400	1490400	7.452	50215.9	9.564933333333334e+28	1.0
3004200	1492200	7.461	50215.4	9.564838095238096e+28	1.0
3006000	1494000	7.47	50217.7	9.56527619047619e+28	1.0
3007800	1495800	7.479	50217.4	9.565219047619049e+28	1.0
3009600	1497600	7.488	50215.7	9.564895238095238e+28	1.0
3011400	1499400	7.497	50215.0	9.564761904761906e+28	1.0
3013200	1501200	7.506	50217.5	9.565238095238096e+28	1.0
3015000	1503000	7.515	50216.2	9.564990476190475e+28	1.0
3016800	1504800	7.524	50216.0	9.564952380952381e+28	1.0
3018600	1506600	7.533	50216.0	9.564952380952381e+28	1.0
3020400	1508400	7.542	50216.7	9.565085714285715e+28	1.0
3022200	1510200	7.551	50215.5	9.564857142857143e+28	1.0
3024000	1512000	7.56	50214.9	9.564742857142858e+28	1.0
3025800	1513800	7.569	50216.1	9.564971428571428e+28	1.0
3027600	1515600	7.578	50216.5	9.565047619047619e+28	1.0
3029400	1517400	7.587	50215.1	9.564780952380953e+28	1.0
3031200	1519200	7.596	50216.2	9.564990476190475e+28	1.0
3033000	1521000	7.605	50216.9	9.56512380952381e+28	1.0
3034800	1522800	7.614	50215.8	9.564914285714287e+28	1.0
3036600	1524600	7.623	50216.0	9.564952380952381e+28	1.0
3038400	1526400	7.632	50215.5	9.564857142857143e+28	1.0
3040200	1528200	7.641	50217.7	9.56527619047619e+28	1.0
3042000	1530000	7.65	50214.8	9.564723809523811e+28	1.0
3043800	1531800	7.659	50215.9	9.564933333333334e+28	1.0
3045600	1533600	7.668	50218.2	9.565371428571428e+28	1.0
3047400	1535400	7.677	50217.3	9.565200000000001e+28	1.0
3049200	1537200	7.686	50216.2	9.564990476190475e+28	1.0
3051000	1539000	7.695	50218.6	9.565447619047618e+28	1.0
3052800	1540800	7.704	50218.7	9.565466666666667e+28	1.0
3054600	1542600	7.713	50217.5	9.565238095238096e+28	1.0
3056400	1544400	7.722	50216.7	9.565085714285715e+28	1.0
3058200	1546200	7.731	50216.3	9.565009523809524e+28	1.0
3060000	1548000	7.74	50216.8	9.565104761904762e+28	1.0
3061800	1549800	7.749	50216.7	9.565085714285715e+28	1.0
3063600	1551600	7.758	50213.8	9.564533333333334e+28	1.0
3065400	1553400	7.767	50215.9	9.564933333333334e+28	1.0
3067200	1555200	7.776	50218.8	9.565485714285714e+28	1.0
3069000	1557000	7.785	50216.4	9.565028571428571e+28	1.0
3070800	1558800	7.794	50215.4	9.564838095238096e+28	1.0
